id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
316636,GB-0242,small_airport,Nuthampstead,51.9952935,0.0701442,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,"RAF Nuthampstead",50,2016-01-05T13:00:37+00:00
316746,GB-0245,small_airport,"Peterlee Airfield",54.7668378,-1.3843768,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-01-20T10:33:38+00:00
316805,GB-0246,small_airport,"Wharf Farm Airstrip",52.6273132,-1.4184066,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-01-24T04:33:46+00:00
317445,GB-0254,small_airport,"Gutchpool Farm Airstrip",51.0572904,-2.2334969,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-04-05T11:20:15+00:00
317446,GB-0255,small_airport,"Gorrel Farm Airstrip",50.9438009,-4.386336,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-04-05T11:22:34+00:00
317451,GB-0257,small_airport,"Stones Farm Airstrip",51.9891623,0.65789,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-04-05T14:36:41+00:00
317452,GB-0258,small_airport,"Clipgate Farm Airstrip",51.1870367,1.153392,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-04-05T15:08:11+00:00
317476,EGYO,small_airport,"North Coates",53.498,0.0625,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.northcoatesflyingclub.co.uk/,,EGYO,50,2023-04-03T05:02:34+00:00
317573,GB-0261,small_airport,"Top Farm Airfield",52.1225417,-0.117631,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-04-15T15:15:35+00:00
317574,GB-0262,small_airport,"Griffin's Farm Airstrip",53.0772962,-0.511852,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,"Temple Bruer",50,2016-04-15T15:23:53+00:00
317592,GB-0265,small_airport,"Lower Withial Fram Airstrip",51.1253177,-2.5965937,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-04-16T01:41:39+00:00
317665,GB-0269,small_airport,"Ince Blundell Microlight",53.5355556,-3.0297222,10,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.wlms.co.uk,,"West Lancashire Microlight School",50,2016-04-22T08:43:17+00:00
317694,GB-0271,small_airport,"Kingfisher's Bridge Airstrip",52.3305139,0.2681335,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-04-24T04:50:25+00:00
317739,GB-0275,small_airport,"Lydeway field",51.3309604,-1.9289392,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-04-27T12:26:28+00:00
317925,GB-0280,small_airport,Deenethorpe,52.5062705,-0.589011,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-05-16T06:00:10+00:00
317927,GB-0282,small_airport,"Newnham Grounds Airstrip",52.2376234,-1.1416561,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-05-16T06:15:07+00:00
317928,GB-0283,small_airport,"Lark Engine Farmhouse Airstrip",52.4226804,0.3776757,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-05-16T06:17:11+00:00
318005,GB-0295,small_airport,"Ranston Airstrip",50.9151165,-2.1853714,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-05-22T09:53:11+00:00
318010,GB-0297,small_airport,"Hallwell Airstrip",50.3651272,-3.7068994,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-05-22T10:31:00+00:00
318012,GB-0298,small_airport,"Green Farm Airstrip",52.1600872,-1.5481724,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-05-22T11:56:46+00:00
318076,GB-0302,small_airport,"Claybrooke Farm Airstrip",52.509143,-1.279523,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-07-01T04:50:58+00:00
319077,GB-0333,small_airport,"Bowldown Farm Airstrip",51.628872,-2.237254,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2017-07-29T04:32:30+00:00
319137,GB-0341,small_airport,"Garton Field Airstrip",53.7965455,-0.0911538,40,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-06-27T14:37:09+00:00
